# Title: January - December 2022 Contiguous U.S. Statewide Average Temperature,,,,,
# Units: Degrees Fahrenheit,,,,,
# Missing: -99,,,,,
# Note: Period of Record: 130 Years,,,,,
ID,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
1,Alabama,64,0.9,101,63.1
2,Arizona,61.2,1.9,115,59.4
3,Arkansas,61.2,0.7,90,60.4
4,California,60.1,2.7,122,57.4
5,Colorado,46.2,1.6,110,44.6
6,Connecticut,51,3,120,48
7,Delaware,56.5,2.4,114,54.2
8,Florida,72.5,2.4,124,70.1
9,Georgia,64.8,1.4,112,63.4
10,Idaho,43.5,0.9,92,42.6
11,Illinois,52.1,0.4,82,51.6
12,Indiana,52.2,0.9,89,51.3
13,Iowa,47.5,0,57,47.5
14,Kansas,55.2,1,95,54.1
15,Kentucky,56.3,0.8,85,55.5
16,Louisiana,67.3,0.9,98,66.4
17,Maine,43.4,3.3,121,40.1
18,Maryland,55.7,2,112,53.8
19,Massachusetts,50.3,3.4,123,46.9
20,Michigan,45.1,1.5,103,43.6
21,Minnesota,40,-0.1,55,40.1
22,Mississippi,64.7,1,107,63.6
23,Missouri,55,0.5,85,54.5
24,Montana,42.1,0.9,86,41.1
25,Nebraska,49.7,1.3,94,48.4
26,Nevada,51.6,2.1,118,49.5
27,New Hampshire,45.4,3.1,121,42.3
28,New Jersey,54.3,2.9,117,51.4
29,New Mexico,54.6,1.7,112,52.8
30,New York,46.6,2.1,110,44.5
31,North Carolina,59.9,1.4,109,58.5
32,North Dakota,39.4,-0.3,51,39.7
33,Ohio,51.7,1.3,100,50.4
34,Oklahoma,60.9,1.3,110,59.7
35,Oregon,48.3,1.8,117,46.5
36,Pennsylvania,49.6,1.5,107,48.1
37,Rhode Island,52.1,3.5,124,48.6
38,South Carolina,63.8,1.4,113,62.4
39,South Dakota,45.2,0.6,86,44.6
40,Tennessee,58.5,0.9,89,57.7
41,Texas,66.5,1.9,118,64.6
42,Utah,49.5,2,112,47.5
43,Vermont,44.2,2.9,118,41.3
44,Virginia,56.2,1.4,107,54.8
45,Washington,47.1,1,99,46.1
46,West Virginia,52.4,0.8,90,51.6
47,Wisconsin,42.9,0.5,79,42.4
48,Wyoming,42,1.2,97,40.7
