"Arizona","Transportation","Electric power industry","Industry","Agriculture","Commercial","Residential","Gross total"
1991,"23.656247","33.688803"," 7.304266"," 7.807517"," 6.089685"," 1.916961","80.463478"
1992,"23.715438","33.944962"," 7.536854"," 6.839967"," 6.187952"," 1.992572","80.217745"
1993,"24.584556","36.610970"," 7.385831"," 7.682017"," 5.910090"," 1.861433","84.034897"
1994,"26.035354","37.749593"," 7.602269"," 7.185238"," 5.971912"," 1.810171","86.354537"
1995,"27.134352","39.184868"," 8.130999"," 7.214911"," 5.983046"," 1.896413","89.544589"
1996,"27.760275","33.363037"," 8.621538"," 7.421209"," 6.002420"," 1.907901","85.076381"
1997,"29.599737","33.324620"," 8.892025"," 7.413112"," 5.900419"," 1.896121","87.026034"
1998,"31.384129","36.065421"," 8.866564"," 7.632747"," 6.133660"," 2.109906","92.192425"
1999,"32.241177","38.538050"," 8.929229"," 7.843598"," 6.064900"," 2.433770","96.050725"
2000," 34.168232"," 40.870782","  8.753077","  7.913268","  6.419046","  2.359764","100.484170"
2001," 34.721449"," 45.814671","  8.668051","  7.304604","  6.531081","  2.429306","105.469162"
2002," 35.666768"," 47.029036","  8.454131","  7.645776","  6.260397","  2.436135","107.492243"
2003," 36.919194"," 46.112065","  7.959127","  7.494985","  6.273013","  2.401024","107.159408"
2004," 37.754790"," 47.304565","  7.954137","  7.778161","  6.311798","  2.355322","109.458771"
2005," 38.104484"," 52.993144","  8.690643","  7.977207","  6.569822","  2.454481","116.789782"
2006," 39.488285"," 52.096338","  8.989786","  8.056160","  6.702823","  2.351414","117.684806"
2007," 40.086439"," 53.972300","  9.517650","  8.283821","  6.602617","  2.389136","120.851963"
2008," 39.546113"," 56.434472","  9.301397","  8.273073","  6.692168","  2.538616","122.785838"
2009," 36.780612"," 58.900123","  9.194995","  8.842044","  6.855919","  2.725382","123.299076"
2010," 33.980579"," 53.666239","  7.743335","  8.404480","  6.742540","  2.466860","113.004033"
2011," 36.362622"," 55.683345","  9.009825","  8.457334","  5.659643","  2.662878","117.835646"
2012," 35.788688"," 53.566858","  8.384545","  8.088104","  5.669088","  2.787663","114.284946"
2013," 35.103898"," 52.536984","  8.198226","  8.368628","  5.865398","  2.514168","112.587302"
2014," 34.380704"," 56.025692","  8.260935","  8.382067","  5.963255","  2.895672","115.908325"
2015," 35.645672"," 54.365125","  8.097575","  8.359179","  6.108591","  2.576190","115.152331"
2016," 36.313901"," 50.826036","  8.426390","  8.527555","  6.834023","  2.743467","113.671371"
2017," 37.238787"," 45.304506","  8.146886","  8.311318","  6.969409","  2.833062","108.803969"
2018," 37.494833"," 44.537176","  8.529930","  8.244777","  6.642204","  2.741831","108.190751"
2019," 38.490841"," 47.512362","  9.048820","  8.420355","  6.513028","  2.980438","112.965843"
2020," 39.263690"," 44.143720","  9.174494","  8.324184","  6.963625","  3.470233","111.339947"
2021,"35.652522","36.108966"," 9.297105"," 7.568693"," 6.296840"," 3.438496","98.362622"
2022," 39.976386"," 34.833296","  9.010318","  7.796228","  6.536662","  3.556843","101.709732"
2023," 39.348588"," 33.209787","  9.456066","  7.648863","  6.821036","  3.783947","100.268287"
