"virginia","Transportation","Electric power industry","Industry","Commercial","Residential","Agriculture","Gross total"
1991," 40.155091"," 24.569896"," 49.645972","  8.917586","  6.572744","  6.510355","136.371645"
1992," 38.539477"," 26.545180"," 48.295528","  9.065819","  6.515918","  6.595995","135.557918"
1993," 39.934072"," 28.390137"," 45.944711","  9.288014","  6.986051","  6.825068","137.368054"
1994," 40.883223"," 32.913935"," 39.297181"," 10.295429","  7.129065","  6.757819","137.276652"
1995," 42.101868"," 30.815773"," 37.384770"," 10.565280","  7.000769","  6.761863","134.630323"
1996," 43.036858"," 32.202030"," 34.446899"," 10.754560","  7.244648","  6.817136","134.502130"
1997," 44.117484"," 35.023837"," 34.722146"," 11.523799","  8.250240","  6.924665","140.562171"
1998," 45.638819"," 36.363340"," 33.588888"," 12.064035","  7.890783","  6.511531","142.057396"
1999," 47.021374"," 38.636474"," 32.297143"," 11.879157","  7.188288","  6.508962","143.531397"
2000," 48.847635"," 39.687222"," 31.807682"," 11.103286","  7.284030","  7.134673","145.864528"
2001," 50.616777"," 44.570928"," 30.440928"," 11.671657","  8.329848","  6.685474","152.315612"
2002," 50.489855"," 44.182808"," 28.985037"," 11.096541","  7.683754","  6.787832","149.225827"
2003," 50.494664"," 43.554867"," 28.033512"," 10.804990","  7.384958","  6.618861","146.891852"
2004," 52.825222"," 43.027494"," 29.829251"," 12.133278","  8.433486","  7.010867","153.259599"
2005," 55.593419"," 42.554399"," 30.000559"," 11.850169","  8.575452","  6.566434","155.140431"
2006," 55.399480"," 43.401737"," 29.495786"," 11.650763","  8.571540","  6.528833","155.048139"
2007," 55.011702"," 39.243569"," 29.564854"," 11.023738","  7.278895","  6.506424","148.629183"
2008," 56.072125"," 43.871007"," 28.783318"," 11.150396","  7.641008","  6.164558","153.682412"
2009," 52.121737"," 38.426572"," 27.165896"," 11.074417","  7.122794","  6.481186","142.392602"
2010," 50.253171"," 33.018949"," 22.232858"," 10.977868","  7.302174","  5.956487","129.741508"
2011," 52.297039"," 35.935510"," 21.911130"," 10.706159","  7.658339","  6.118303","134.626480"
2012," 49.416644"," 30.020355"," 21.028861"," 10.389466","  6.998937","  6.336366","124.190629"
2013," 50.210359"," 26.623654"," 20.089958"," 10.128410","  5.977748","  6.213651","119.243780"
2014," 49.443048"," 32.542314"," 21.028698"," 10.561611","  7.172372","  6.346449","127.094493"
2015," 51.206716"," 31.923870"," 18.912560"," 10.938734","  7.754448","  6.149797","126.886125"
2016," 50.778711"," 33.377922"," 18.605252"," 11.600163","  7.249575","  6.223980","127.835604"
2017," 52.300918"," 35.121056"," 18.527050"," 12.217533","  6.476121","  5.976483","130.619160"
2018," 52.621682"," 29.581705"," 19.405412"," 11.676860","  6.336992","  5.884613","125.507265"
2019," 53.051890"," 31.857594"," 19.298338"," 11.851071","  7.464244","  6.222895","129.746031"
2020," 52.758196"," 28.147874"," 19.413753"," 11.902981","  7.063081","  5.682648","124.968533"
2021," 46.903440"," 30.099544"," 18.821673"," 11.671264","  6.767312","  5.729586","119.992819"
2022," 50.644732"," 25.561573"," 18.999408"," 11.759822","  7.361140","  5.515334","119.842009"
2023," 48.971910"," 23.925174"," 18.316402"," 12.035521","  7.708709","  5.513005","116.470721"
