"Washington","Transportation","Industry","Electric power industry","Agriculture","Commercial","Residential","Gross total"
1991,"34.834589","27.730338"," 8.684986"," 8.703562"," 6.640494"," 3.672249","90.266218"
1992,"33.834405","27.122057"," 9.024869"," 8.289926"," 6.683511"," 4.004677","88.959445"
1993,"37.849644","28.799941","11.176166"," 8.513946"," 6.289995"," 3.623768","96.253459"
1994,"36.432077","27.366866","11.338675"," 9.136048"," 6.443207"," 4.275005","94.991877"
1995,"37.994472","28.274264","12.952638"," 8.881230"," 6.690012"," 4.302215","99.094832"
1996,"39.487604","28.180208"," 9.325814"," 8.769345"," 6.901040"," 4.343887","97.007898"
1997," 39.799376"," 29.715809"," 11.683877","  8.328242","  6.919491","  5.012414","101.459208"
1998,"38.435008","28.220028"," 9.831168"," 8.129105"," 6.973032"," 5.115200","96.703541"
1999," 37.613167"," 33.061455"," 12.679434","  8.587727","  6.493624","  4.990883","103.426290"
2000," 40.362047"," 33.393730"," 11.421614","  8.287112","  6.780873","  5.556680","105.802056"
2001," 41.470486"," 27.485786"," 14.965655","  8.451886","  6.786304","  5.511445","104.671563"
2002,"39.810229","18.024298","14.904670"," 8.840901"," 7.092199"," 6.401229","95.073525"
2003,"38.968439","17.910421","12.348975"," 8.347561"," 6.668092"," 5.883167","90.126656"
2004,"38.679137","16.823695","14.947715"," 8.546379"," 6.583731"," 5.328231","90.908889"
2005,"39.518828","17.356343","14.856472"," 8.712076"," 6.783669"," 5.289514","92.516901"
2006,"39.551905","18.517830","14.882385"," 8.393652"," 6.860652"," 5.263898","93.470321"
2007,"39.883688","18.671834","10.311635"," 9.242320"," 7.026201"," 5.363870","90.499550"
2008,"41.111317","19.318703","12.644983"," 9.441857"," 7.165808"," 5.529586","95.212253"
2009,"37.838551","18.936063","13.503365"," 9.167526"," 7.597796"," 5.881883","92.925184"
2010,"36.912235","17.381486","13.333789"," 9.939826"," 7.572690"," 6.038479","91.178505"
2011,"35.098104","16.461767","13.782983"," 9.447038"," 6.894727"," 5.614361","87.298979"
2012,"34.849729","16.266390"," 8.089840"," 9.435784"," 6.792778"," 6.164175","81.598696"
2013,"34.740413","16.670902"," 6.859063"," 8.860751"," 6.581046"," 5.614892","79.327067"
2014,"35.678623","16.611803","12.342995"," 9.036475"," 6.831858"," 5.913105","86.414859"
2015,"35.232764","16.366575","12.348295"," 9.965422"," 6.727378"," 5.781312","86.421747"
2016,"35.849395","17.089519","11.464171"," 9.180679"," 7.366609"," 5.471377","86.421751"
2017,"37.942340","16.583397","10.156809"," 8.823708"," 7.544332"," 5.916410","86.966997"
2018,"38.303044","15.704280","10.994794"," 8.941122"," 7.986934"," 6.954697","88.884872"
2019,"39.096823","15.946477","10.680256"," 9.556198"," 8.139130"," 6.563232","89.982115"
2020,"39.989420","15.878689","14.459175"," 9.857463"," 8.472881"," 7.194061","95.851688"
2021,"31.308555","14.533937","11.520079"," 9.812417"," 8.250855"," 6.891158","82.317002"
2022,"38.051904","13.696535","10.372634"," 9.521795"," 8.412687"," 7.251718","87.307273"
2023,"38.190442","13.924487","10.011773"," 9.316974"," 8.826692"," 7.603865","87.874234"
