"Wyoming","Electric power industry","Industry","Agriculture","Transportation","Commercial","Residential","Gross total"
1991,"40.4971849","24.3111965"," 7.7057505"," 5.2845138"," 1.1034871"," 0.8450583","79.7471911"
1992,"39.5478283","24.2327861"," 7.5324828"," 5.1610163"," 1.2025289"," 0.9006268","78.5772692"
1993,"43.2934520","26.3498464"," 7.7604740"," 5.4836551"," 0.9874603"," 0.7841595","84.6590473"
1994,"41.1823302","24.5025157"," 8.4339984"," 5.8965153"," 1.1891969"," 0.8960819","82.1006386"
1995,"43.2202299","25.6535489"," 8.7269816"," 5.7993349"," 1.2229731"," 0.8382881","85.4613564"
1996,"40.6381012","25.9033709"," 8.8900233"," 6.1959887"," 1.1482351"," 0.8842944","83.6600136"
1997,"41.4206155","26.1004521"," 8.7681563"," 6.6079712"," 1.5192683"," 0.9804336","85.3968971"
1998,"41.054123","26.981009"," 9.740044"," 6.769779"," 1.129044"," 0.838098","86.512097"
1999,"45.5639235","28.6500692"," 9.4970231"," 7.0974132"," 1.1043902"," 0.8050689","92.7178881"
2000,"43.8021840","29.1213841"," 8.4786763"," 8.2892475"," 1.0688051"," 0.7903196","91.5506166"
2001,"45.1829720","32.4305759"," 8.2105336"," 7.3906976"," 1.1777090"," 0.8556423","95.2481303"
2002,"45.1735311","34.4613556"," 8.4298515"," 7.7758162"," 1.1903423"," 0.8235192","97.8544159"
2003,"43.7166210","34.8231413"," 8.3186914"," 7.5763188"," 1.1363726"," 0.9360414","96.5071865"
2004,"44.9185802","35.2118355"," 7.9263114"," 7.5059237"," 1.1008550"," 0.8613153","97.5248209"
2005," 45.4568798"," 36.5728725","  8.2400753","  7.8289947","  1.1377625","  0.8586754","100.0952603"
2006,"44.659982","37.311436"," 8.063640"," 7.955343"," 1.144863"," 0.847054","99.982317"
2007," 44.2788898"," 40.1478598","  8.2596131","  8.1174424","  1.2244035","  0.8351467","102.8633553"
2008," 44.7616028"," 41.9167949","  8.8228922","  8.5701877","  1.3685649","  0.9683327","106.4083753"
2009," 45.243970"," 42.966831","  8.420933","  8.583973","  1.345082","  1.001151","107.561940"
2010," 43.119588"," 40.798187","  8.589370","  7.986153","  1.287205","  0.985992","102.766494"
2011," 44.0531835"," 40.7132444","  8.3725402","  8.2571904","  1.3820945","  0.9688673","103.7471202"
2012," 42.275440"," 41.913802","  8.806759","  7.577798","  1.668075","  1.009726","103.251600"
2013," 44.6055133"," 38.9671977","  8.2701057","  8.0694339","  1.4431969","  0.8536088","102.2090564"
2014," 47.532704"," 37.349158","  9.168066","  7.956220","  1.621879","  1.001075","104.629103"
2015," 44.4698851"," 35.6717231","  9.6409349","  7.9252601","  1.4581360","  0.9919752","100.1579145"
2016,"44.6236638","33.8084003"," 8.9579210"," 7.5288277"," 1.5172558"," 0.8851779","97.3212463"
2017,"41.506834","31.322225"," 8.459945"," 7.312081"," 1.492832"," 0.938720","91.032638"
2018,"41.664547","31.740509"," 9.265242"," 7.173024"," 1.376501"," 1.023639","92.243461"
2019,"41.466156","33.437614"," 8.912495"," 7.526353"," 1.311056"," 1.047749","93.701425"
2020,"37.156980","31.235546"," 9.410760"," 7.425477"," 1.336114"," 1.128871","87.693749"
2021,"35.966031","31.332271"," 8.458330"," 6.994401"," 1.238501"," 1.026588","85.016121"
2022,"34.775511","31.031950"," 8.722727"," 7.300549"," 1.278422"," 1.046181","84.155340"
2023,"36.244210","29.372283"," 8.557221"," 6.920055"," 1.446745"," 1.100727","83.641243"
