"Wesvig","Electric power industry","Industry","Transportation","Commercial","Residential","Agriculture","Gross total"
1991," 72.149903"," 73.307428"," 10.231029","  2.916373","  2.460733","  1.642182","162.707648"
1992," 67.069767"," 70.944098","  9.974116","  3.035796","  2.391551","  1.611361","155.026690"
1993," 68.958751"," 71.093771"," 11.055901","  3.008105","  2.515304","  1.673261","158.305095"
1994," 68.769064"," 63.891460"," 11.312881","  2.856844","  2.577345","  1.693267","151.100860"
1995," 75.048225"," 64.000033"," 11.962804","  2.965423","  2.569487","  1.674958","158.220929"
1996," 74.729772"," 62.554490"," 12.141563","  2.943632","  2.523347","  1.655272","156.548075"
1997," 79.911735"," 64.441772"," 11.227768","  3.168824","  2.754729","  1.685468","163.190298"
1998," 83.949870"," 61.643282"," 12.525299","  2.975629","  2.733231","  1.541971","165.369281"
1999," 84.932123"," 63.674396"," 12.711237","  3.009224","  2.340609","  1.534939","168.202528"
2000," 87.673599"," 64.128732"," 12.784128","  3.100644","  2.489627","  1.577753","171.754483"
2001," 86.299807"," 40.907066"," 12.987483","  3.227311","  2.488254","  1.549227","147.459148"
2002," 76.620062"," 42.932404"," 12.795044","  2.956354","  2.504562","  1.522966","139.331392"
2003," 88.960934"," 41.304416"," 12.764476","  2.651744","  2.283828","  1.591359","149.556757"
2004," 88.176036"," 38.002313"," 12.000505","  2.820964","  2.369870","  1.524558","144.894246"
2005," 84.236363"," 40.287936"," 12.328680","  2.740864","  2.351918","  1.543556","143.489317"
2006," 87.432714"," 39.568596"," 12.218138","  2.751878","  2.256785","  1.720044","145.948154"
2007," 87.714985"," 40.344953"," 12.144930","  2.611637","  2.135178","  1.660399","146.612081"
2008," 89.065067"," 40.684477"," 12.107027","  2.598513","  2.037522","  1.725978","148.218584"
2009," 86.608773"," 45.501536"," 11.165758","  2.642942","  2.074769","  1.523415","149.517194"
2010," 67.649068"," 42.642892"," 11.743507","  2.667464","  2.061432","  1.566691","128.331055"
2011," 76.286072"," 42.126338"," 11.999693","  3.330181","  2.156922","  1.458520","137.357726"
2012," 74.085604"," 39.243121"," 11.558091","  3.150962","  2.024512","  1.502361","131.564651"
2013," 68.865365"," 37.692600"," 12.070820","  2.993758","  1.791499","  1.444152","124.858193"
2014," 70.781528"," 39.443563"," 11.529657","  3.069430","  2.184705","  1.515319","128.524202"
2015," 75.627411"," 42.893594"," 11.709316","  3.022802","  2.250155","  1.448609","136.951888"
2016," 68.100140"," 42.011812"," 12.317989","  3.027842","  2.000337","  1.413195","128.871315"
2017," 71.034734"," 39.007061"," 11.054849","  2.957401","  1.843005","  1.471492","127.368542"
2018," 67.398658"," 42.347817"," 12.014718","  2.885925","  1.723417","  1.426760","127.797295"
2019," 62.437810"," 42.050587"," 13.695926","  3.083483","  2.037481","  1.516705","124.821993"
2020," 58.969409"," 39.309193"," 13.736780","  3.077550","  1.946305","  1.414159","118.453396"
2021," 51.601299"," 39.424015"," 11.646387","  2.886287","  1.917292","  1.426497","108.901777"
2022," 60.373213"," 38.179590"," 13.822764","  2.903347","  1.962127","  1.381329","118.622370"
2023," 52.779778"," 42.237991"," 13.372721","  2.985569","  2.077266","  1.358562","114.811887"
