"Wisconsin","Electric power industry","Transportation","Agriculture","Industry","Residential","Commercial","Gross total"
1991," 34.323530"," 25.178962"," 21.459335"," 17.955267","  9.620688","  9.348289","117.886071"
1992," 35.477892"," 25.322959"," 21.137048"," 18.256049"," 10.392671","  9.939734","120.526353"
1993," 34.61172"," 26.49691"," 20.23712"," 17.90803"," 10.02639"," 10.00777","119.28793"
1994," 35.36661"," 27.27269"," 20.36894"," 18.73282"," 10.56871","  9.99872","122.30849"
1995," 37.093993"," 28.846248"," 19.874561"," 19.239228"," 10.119464","  9.855668","125.029162"
1996," 38.88072"," 29.55950"," 19.63273"," 19.83454"," 10.41234"," 10.23750","128.55733"
1997," 40.70027"," 30.41229"," 19.21794"," 19.68497"," 11.69075"," 11.33522","133.04145"
1998," 43.86129"," 30.71419"," 18.84516"," 20.15961"," 10.55132"," 11.39394","135.52550"
1999," 43.117434"," 32.522714"," 19.486485"," 19.372727","  9.095169"," 10.808514","134.403043"
2000," 43.86191"," 33.07820"," 20.79387"," 19.48808"," 10.17641"," 10.48171","137.88019"
2001," 45.59946"," 32.35065"," 20.37964"," 19.98633"," 10.44167"," 10.36374","139.12148"
2002," 45.25007"," 32.30414"," 20.70281"," 19.00571"," 10.00459"," 10.16291","137.43022"
2003," 45.00621"," 32.70724"," 21.00766"," 19.30405"," 10.67330"," 10.39485","139.09331"
2004," 44.91918"," 32.72641"," 19.43855"," 19.29732"," 10.82256"," 10.75535","137.95935"
2005," 46.12899"," 33.21651"," 19.40311"," 19.85062"," 10.39892"," 10.45548","139.45362"
2006," 50.16552"," 32.54845"," 19.43463"," 19.32004"," 10.24759"," 11.01246","142.72869"
2007," 44.331083"," 32.410700"," 20.258375"," 19.194889","  9.312365"," 10.189320","135.696733"
2008," 45.102496"," 32.545396"," 20.602732"," 19.346649","  9.822141"," 10.401053","137.820467"
2009," 45.63999"," 31.58573"," 20.09356"," 18.16631"," 10.51153"," 11.21879","137.21591"
2010," 40.717647"," 30.273799"," 20.329886"," 16.081014","  9.686189"," 10.449242","127.537778"
2011," 43.848352"," 31.101554"," 21.338796"," 15.904617","  9.097852","  8.493142","129.784313"
2012," 43.020994"," 29.885847"," 20.882953"," 16.184491","  9.423779","  8.725372","128.123436"
2013," 38.106975"," 29.910854"," 21.057451"," 15.590977","  8.108787","  8.003919","120.778963"
2014," 44.563419"," 28.998726"," 21.783124"," 16.801599"," 10.359765","  9.172747","131.679381"
2015," 40.878679"," 31.531978"," 22.828527"," 16.816917"," 11.040035","  9.518274","132.614410"
2016," 42.742468"," 30.304141"," 22.937870"," 16.256322","  9.597753","  9.105069","130.943623"
2017," 39.643113"," 30.416396"," 23.107482"," 15.633861","  9.367155","  8.919648","127.087655"
2018," 41.971807"," 30.070084"," 22.770975"," 16.154427","  9.611482","  9.102751","129.681527"
2019," 40.614281"," 32.089581"," 23.742979"," 16.866750"," 10.725026","  9.459523","133.498141"
2020," 33.900178"," 31.278319"," 22.750998"," 16.451631"," 11.697342","  9.550053","125.628521"
2021," 32.154399"," 28.276121"," 22.178314"," 15.378741"," 10.593033","  8.982628","117.563236"
2022," 35.69792"," 30.49327"," 22.49004"," 14.97736"," 10.49309","  9.46171","123.61338"
2023," 31.79404"," 30.66106"," 22.32555"," 15.22051"," 11.62547"," 10.40588","122.03252"
