State, Registration Count , Income ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"13,047","62,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,"2,697","86,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,"89,798","77,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,"7,108","58,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,"1,256,646","95,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,"90,083","92,911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,"31,557","91,665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,"8,435","81,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,"8,066","108,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,"254,878","73,311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,"92,368","74,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,"25,565","95,322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,"8,501","74,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,"99,573","80,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,"26,101","69,477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,"9,031","71,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,"11,271","70,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,"11,617","61,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,"8,150","58,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,"7,377","73,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,"72,139","98,678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,"73,768","99,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,"50,284","69,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,"37,050","85,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,"3,590","54,203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,"26,861","68,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,"4,608","70,804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,"6,920","74,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,"47,361","76,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,"9,861","96,838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,"134,753","99,781",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,"10,276","62,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,"131,250","82,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,"70,164","70,804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,959,"76,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,"50,393","67,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,"22,843","62,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,"64,361","80,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,"70,154","73,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,"6,396","84,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,"20,873","67,804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,"1,675","71,810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,"33,221","67,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,"230,125","75,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,"39,998","93,421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,"7,816","81,211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,"84,936","89,931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,"152,101","94,605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,"2,758","55,948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,"24,943","74,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,"1,139","72,415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
