State,State Abbreviation,PM 2.5,NO2,O3 (ppb),State Population,EV Registrations,EVs per Capita,Urban Population,Urban Population (%),Temperature,Humidity,Wind Speed (knots),,,,,O3 (ppm)
Alabama,AL,7.938141306,13.97,41.17218," 5,076,181 "," 8,700 ", 0.00171 ," 2,900,880 ", 0.57147 ,64.48,11.23,31.62,,,,,0.04117
Alaska,AK,9.096317705,N/A,30.12438,,,,,,,,,,,,,0.03012
Arizona,AZ,7.593230195,19.84157283,49.77641,,,,,,,,,,,,,0.04978
Arkansas,AR,8.503405547,12.63386475,37.89378,,,,,,,,,,,,,0.03789
California,CA,8.810454049,14.08865312,44.81851,,,,,,,,,,,,,0.04482
Colorado,CO,6.044715958,12.08800753,49.79130,,,,,,,,,,,,,0.04979
Connecticut,CT,6.349004078,16.015749,45.28298,,,,,,,,,,,,,0.04528
Delaware,DE,6.61964324,15.109617,43.40893,,,,,,,,,,,,,0.04341
Florida,FL,7.029742661,11.34896919,37.82159,,,,,,,,,,,,,0.03782
Georgia,GA,8.673442261,19.39870583,41.00447,,,,,,,,,,,,,0.04100
Hawaii,HI,3.429344032,6.20514775,27.31175,,,,,,,,,,,,,0.02731
Idaho,ID,8.894536524,17.7597965,48.03236,,,,,,,,,,,,,0.04803
Illinois,IL,8.636793319,17.04485281,42.98813,,,,,,,,,,,,,0.04299
Indiana,IN,8.806328359,11.7158415,43.20015,,,,,,,,,,,,,0.04320
Iowa,IA,7.511652556,5.86381,41.15026,,,,,,,,,,,,,0.04115
Kansas,KS,8.599241376,7.9386847,45.65633,,,,,,,,,,,,,0.04566
Kentucky,KY,7.893092185,11.3891085,43.19594,,,,,,,,,,,,,0.04320
Louisiana,LA,8.396882651,9.387072944,39.50538,,,,,,,,,,,,,0.03951
Maine,ME,4.258953952,6.93755675,37.08006,,,,,,,,,,,,,0.03708
Maryland,MD,6.43654851,13.79387808,43.92320,,,,,,,,,,,,,0.04392
Massachusetts,MA,6.364335818,11.84029777,41.22083,,,,,,,,,,,,,0.04122
Michigan,MI,8.680747464,14.18232395,41.70359,,,,,,,,,,,,,0.04170
Minnesota,MN,5.656625272,10.69043114,39.16401,,,,,,,,,,,,,0.03916
Mississippi,MS,8.55500506,6.261658,41.68718,,,,,,,,,,,,,0.04169
Missouri,MO,8.131870292,13.51928336,44.47709,,,,,,,,,,,,,0.04448
Montana,MT,7.429622741,2.782294429,43.18791,,,,,,,,,,,,,0.04319
Nebraska,NE,5.501756264,N/A,42.94431,,,,,,,,,,,,,0.04294
Nevada,NV,6.268639299,20.76111457,47.34331,,,,,,,,,,,,,0.04734
New Hampshire,NH,4.819688938,3.3766845,39.57356,,,,,,,,,,,,,0.03957
New Jersey,NJ,7.20425452,17.72779755,42.39037,,,,,,,,,,,,,0.04239
New Mexico,NM,6.808042317,10.27994323,46.25275,,,,,,,,,,,,,0.04625
New York,NY,6.239417834,16.59456975,40.91238,,,,,,,,,,,,,0.04091
North Carolina,NC,7.05835948,9.676232786,43.37878,,,,,,,,,,,,,0.04338
North Dakota,ND,5.843629714,3.896314444,40.08739,,,,,,,,,,,,,0.04009
Ohio,OH,8.198982975,14.25651386,43.33424,,,,,,,,,,,,,0.04333
Oklahoma,OK,8.276966753,12.147895,47.00139,,,,,,,,,,,,,0.04700
Oregon,OR,9.908611492,12.27677,37.41770,,,,,,,,,,,,,0.03742
Pennsylvania,PA,8.002069865,11.26418425,41.98026,,,,,,,,,,,,,0.04198
Rhode Island,RI,5.623140154,12.98820233,42.67131,,,,,,,,,,,,,0.04267
South Carolina,SC,7.537826459,8.3057287,41.53195,,,,,,,,,,,,,0.04153
South Dakota,SD,4.928401134,5.4419235,44.35989,,,,,,,,,,,,,0.04436
Tennessee,TN,7.751132517,10.4879574,43.44908,,,,,,,,,,,,,0.04345
Texas,TX,8.788932069,11.00861993,42.00266,,,,,,,,,,,,,0.04200
Utah,UT,7.120691304,12.67744467,46.21047,,,,,,,,,,,,,0.04621
Vermont,VT,5.39530656,10.7893525,38.77358,,,,,,,,,,,,,0.03877
Virginia,VA,6.887551688,10.808421,41.23841,,,,,,,,,,,,,0.04124
Washington,WA,8.317541023,19.14130833,37.67407,,,,,,,,,,,,,0.03767
West Virginia,WV,7.756532544,10.6604225,40.62403,,,,,,,,,,,,,0.04062
Wisconsin,WI,6.733966322,4.549650225,41.84827,,,,,,,,,,,,,0.04185
Wyoming,WY,3.816861603,4.549650225,47.29211,,,,,,,,,,,,,0.04729
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
