table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),,,
"Estimates of the Total Resident Population and Resident Population Age 18 Years and Older 
for the United States, Regions, States, District of Columbia, and Puerto Rico: July 1, 2023",,,
,,"Resident Population Age 18
 Years and Older",
Geographic Area,"Total Resident
Population",Number,Percent
.Alabama,"5,108,468","3,977,628",77.9
.Alaska,"733,406","557,899",76.1
.Arizona,"7,431,344","5,848,310",78.7
.Arkansas,"3,067,732","2,362,124",77.0
.California,"38,965,193","30,519,524",78.3
.Colorado,"5,877,610","4,662,926",79.3
.Connecticut,"3,617,176","2,894,190",80.0
.Delaware,"1,031,890","819,952",79.5
.District of Columbia,"678,972","552,380",81.4
.Florida,"22,610,726","18,229,883",80.6
.Georgia,"11,029,227","8,490,546",77.0
.Hawaii,"1,435,138","1,141,525",79.5
.Idaho,"1,964,726","1,497,384",76.2
.Illinois,"12,549,689","9,844,167",78.4
.Indiana,"6,862,199","5,274,945",76.9
.Iowa,"3,207,004","2,476,882",77.2
.Kansas,"2,940,546","2,246,209",76.4
.Kentucky,"4,526,154","3,509,259",77.5
.Louisiana,"4,573,749","3,506,600",76.7
.Maine,"1,395,722","1,146,670",82.2
.Maryland,"6,180,253","4,818,337",78.0
.Massachusetts,"7,001,399","5,659,598",80.8
.Michigan,"10,037,261","7,925,350",79.0
.Minnesota,"5,737,915","4,436,981",77.3
.Mississippi,"2,939,690","2,259,864",76.9
.Missouri,"6,196,156","4,821,686",77.8
.Montana,"1,132,812","897,161",79.2
.Nebraska,"1,978,379","1,497,381",75.7
.Nevada,"3,194,176","2,508,220",78.5
.New Hampshire,"1,402,054","1,150,004",82.0
.New Jersey,"9,290,841","7,280,551",78.4
.New Mexico,"2,114,371","1,663,024",78.7
.New York,"19,571,216","15,611,308",79.8
.North Carolina,"10,835,491","8,498,868",78.4
.North Dakota,"783,926","599,192",76.4
.Ohio,"11,785,935","9,207,681",78.1
.Oklahoma,"4,053,824","3,087,217",76.2
.Oregon,"4,233,358","3,401,528",80.4
.Pennsylvania,"12,961,683","10,332,678",79.7
.Rhode Island,"1,095,962","892,124",81.4
.South Carolina,"5,373,555","4,229,354",78.7
.South Dakota,"919,318","697,420",75.9
.Tennessee,"7,126,489","5,555,761",78.0
.Texas,"30,503,301","22,942,176",75.2
.Utah,"3,417,734","2,484,582",72.7
.Vermont,"647,464","532,828",82.3
.Virginia,"8,715,698","6,834,154",78.4
.Washington,"7,812,880","6,164,810",78.9
.West Virginia,"1,770,071","1,417,859",80.1
.Wisconsin,"5,910,955","4,661,826",78.9
.Wyoming,"584,057","454,508",77.8
